scenario,civil_use,service_load_kN,head_stiffness_kN_per_m,allowable_settlement_mm,thermal_amplitude_C,serviceability_basis,head_restraint_ratio,initial_mechanical_settlement_mm,peak_abs_thermal_force_kN,peak_abs_pore_pressure_kPa,max_TM_settlement_mm,max_THM_settlement_mm,final_THM_settlement_mm,max_THM_serviceability_ratio,max_error_if_pore_pressure_ignored_percent,case_id,thermal_factor,load_factor,head_stiffness_factor,vertical_stiffness_factor,cv_factor,mv_factor,lambda_factor
Bridge abutment retrofit matrix 129,bridge abutment or approach foundation,3031.6672206015546,836415.5256943613,15.0,9.341498046259654,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5259159346088155,10.884173492291321,740.8387937995736,104.48817908137333,11.769904054483549,15.340034436765206,10.907414808912396,1.0226689624510137,26.22643600331615,129,1.1676872557824567,0.7218255287146559,1.5207555012624752,0.7737195516929856,0.4293691857680537,1.4488033994818115,1.1168651815269073
Bridge abutment retrofit matrix 130,bridge abutment or approach foundation,4303.651323258277,341414.9351667477,15.0,6.800430081197665,stricter screening limit for bridge approach compatibility and differential-settlement control,0.311681410072079,9.737782965029652,319.62308486104934,97.9731826839526,10.67395491282375,16.146415828238258,9.761998536615026,1.0764277218825504,35.12644077100259,130,0.8500537601497081,1.024678886490066,0.6207544275759049,1.2276497691499297,2.3105510953118604,0.7520534399597422,1.39276748117322
Bridge abutment retrofit matrix 131,bridge abutment or approach foundation,4818.467220798153,914049.9967293709,15.0,9.676509208995826,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5479810151879464,11.466600434554321,799.6042355309465,109.14126466106595,12.341393102780424,19.48870406796596,11.48938466484377,1.2992469378643972,37.43689201739487,131,1.2095636511244783,1.1472541001900365,1.6619090849624925,1.167271088347118,1.5924926303059836,1.077087479573954,1.1014526559858906
Bridge abutment retrofit matrix 132,bridge abutment or approach foundation,4098.085411271513,744685.9746271495,15.0,6.24201424093721,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4968984922202472,9.583554871280223,467.7171483548563,60.43230174920785,10.211627863508973,13.38181616054255,9.599856282545531,0.8921210773695034,24.594368936784058,132,0.7802517801171512,0.9757346217313128,1.3539744993220901,1.18782338492988,1.38028930623236,0.9484979016108526,0.9487190568112533
Bridge abutment retrofit matrix 133,bridge abutment or approach foundation,3651.151435796033,481392.77678328473,15.0,9.014022361935435,stricter screening limit for bridge approach compatibility and differential-settlement control,0.389673395905094,8.920407009522364,529.6759406122891,92.3394123513179,10.020705905055523,14.279217178362641,8.949019233337976,0.9519478118908428,32.57144448999213,133,1.1267527952419294,0.8693217704276269,0.8752595941514267,1.136953427217969,0.7113478905442198,1.3241361379552818,1.0166713372614837
Bridge abutment retrofit matrix 134,bridge abutment or approach foundation,4764.203908636383,353937.13506054814,15.0,8.86183975618235,stricter screening limit for bridge approach compatibility and differential-settlement control,0.31946109439941683,10.650804083076137,426.906460180058,97.33845185966679,11.856968731798366,18.975846693077205,10.68203862118182,1.265056446205147,38.5337635175317,134,1.1077299695227938,1.1343342639610436,0.6435220637464512,1.2425258828336267,1.6824883375766542,1.1756180631797815,1.0711633201159816
Bridge abutment retrofit matrix 135,bridge abutment or approach foundation,3470.343437916464,375495.9438595975,15.0,8.293448780811868,stricter screening limit for bridge approach compatibility and differential-settlement control,0.3324508169071945,8.223823694530175,415.7702688999313,120.97706274803338,9.331080046293572,15.609306227554027,8.252545467473912,1.0406204151702685,41.91049526450921,135,1.0366810976014835,0.8262722471229677,0.6827198979265409,1.1721850128563598,1.1164077645242665,1.0685529758362342,1.4361157125653166
Bridge abutment retrofit matrix 136,bridge abutment or approach foundation,3295.485556457742,866971.64565547,15.0,6.360194828542224,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5348527524479813,8.126614853312315,512.974188990057,69.23811689069866,8.71829993501095,11.693546249197407,8.142039738880637,0.7795697499464939,27.522228283065786,136,0.795024353567778,0.7846394182042242,1.5763120830099453,1.1264378478555352,0.5905658306564281,1.3907351045844325,1.0831892964260708
Bridge abutment retrofit matrix 137,bridge abutment or approach foundation,5095.243371223761,318641.047774204,15.0,5.638998643940867,stricter screening limit for bridge approach compatibility and differential-settlement control,0.2970670619763856,14.098966171995992,252.6081453305113,41.16895745730651,14.891733290655214,15.804051610580384,14.119474482403508,1.053603440705359,7.381341709489747,137,0.7048748304926084,1.213153183624705,0.5793473595894618,1.0038646547763994,0.6167792030814948,0.8158304487739223,0.7260351585240361
Bridge abutment retrofit matrix 138,bridge abutment or approach foundation,4129.542203129745,460640.2606500511,15.0,8.572504077228002,stricter screening limit for bridge approach compatibility and differential-settlement control,0.3792456187776575,10.343667609150422,490.25172643016737,57.05873436974419,11.407950886817748,13.249038029926064,10.371293129795493,0.883269201995071,16.07558787708992,138,1.0715630096535003,0.9832243340785107,0.8375277466364566,1.1089829060343768,0.9594848299905119,0.8013245702739206,0.6572531902394627
